repository_owner,repository_name,file_url,total_h1,total_h2,total_h3,total_h4,total_h5,total_h6,median_h2_under_h1,median_h3_under_h1,median_h4_under_h1,median_h5_under_h1,median_h6_under_h1,median_h3_under_h2,median_h4_under_h2,median_h5_under_h2,median_h6_under_h2,median_h4_under_h3,median_h5_under_h3,median_h6_under_h3,median_h5_under_h4,median_h6_under_h4,median_h6_under_h5,avg_loc_h1,median_loc_h1,avg_loc_h2,median_loc_h2,avg_loc_h3,median_loc_h3,avg_loc_h4,median_loc_h4,avg_loc_h5,median_loc_h5,avg_loc_h6,median_loc_h6
shm11C3,HardwareVisualizer,https://github.com/shm11C3/HardwareVisualizer/blob/master/.github/copilot-instructions.md,1,5,2,0,0,0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,6.4,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
gofiber,fiber,https://github.com/gofiber/fiber/blob/main/.github/copilot-instructions.md,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrismarineJS,minecraft-data,https://github.com/PrismarineJS/minecraft-data/blob/master/.github/copilot-instructions.md,0,6,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0
malgo-lang,malgo,https://github.com/malgo-lang/malgo/blob/master/.github/copilot-instructions.md,1,7,11,0,0,0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,7.285714285714286,7.0,3.1818181818181817,4.0,0.0,0.0,0.0,0.0,0.0,0.0
dogmatiq,dogma,https://github.com/dogmatiq/dogma/blob/main/.github/copilot-instructions.md,1,3,2,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,84.0,24.666666666666668,16.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
yk35,tinyply.net,https://github.com/yk35/tinyply.net/blob/master/.github/copilot-instructions.md,1,3,11,0,0,0,3.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,20.333333333333332,16.0,4.545454545454546,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Saksham-Goel1107,Dionysus,https://github.com/Saksham-Goel1107/Dionysus/blob/main/.github/copilot-instructions.md,1,4,17,0,0,0,4.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,27.25,27.0,5.411764705882353,5.0,0.0,0.0,0.0,0.0,0.0,0.0
baserproject,basercms,https://github.com/baserproject/basercms/blob/master/.github/copilot-instructions.md,1,2,4,0,0,0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,17.5,17.5,6.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hossain-khan,android-remote-notify,https://github.com/hossain-khan/android-remote-notify/blob/main/.github/copilot-instructions.md,1,14,36,0,0,0,14.0,36.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,167.0,10.857142857142858,10.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
hossain-khan,android-weather-alert,https://github.com/hossain-khan/android-weather-alert/blob/main/.github/copilot-instructions.md,1,13,40,0,0,0,13.0,40.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,214.0,15.384615384615385,14.0,3.975,4.0,0.0,0.0,0.0,0.0,0.0,0.0
acredsfan,autonomous_mower,https://github.com/acredsfan/autonomous_mower/blob/main/.github/copilot-instructions.md,1,8,14,0,0,0,8.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,11.75,10.0,4.642857142857143,4.5,0.0,0.0,0.0,0.0,0.0,0.0
MicroPyramid,opensource-startup-crm,https://github.com/MicroPyramid/opensource-startup-crm/blob/main/.github/copilot-instructions.md,0,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DumbWareio,DumbAssets,https://github.com/DumbWareio/DumbAssets/blob/main/.github/copilot-instructions.md,20,12,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,6.0,10.166666666666666,5.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Anselmoo,spectrafit,https://github.com/Anselmoo/spectrafit/blob/main/.github/copilot-instructions.md,1,11,0,0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,5.454545454545454,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBMRI-ERIC,negotiator,https://github.com/BBMRI-ERIC/negotiator/blob/master/.github/copilot-instructions.md,1,2,1,0,0,0,2.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,8.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
bmosoluciones,now-lms,https://github.com/bmosoluciones/now-lms/blob/main/.github/copilot-instructions.md,1,5,13,0,0,0,5.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,17.6,16.0,4.6923076923076925,5.0,0.0,0.0,0.0,0.0,0.0,0.0
blocher,dailyoffice2019,https://github.com/blocher/dailyoffice2019/blob/master/.github/copilot-instructions.md,1,12,18,0,0,0,12.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,6.583333333333333,6.0,2.2222222222222223,0.5,0.0,0.0,0.0,0.0,0.0,0.0
bdougie,contributor.info,https://github.com/bdougie/contributor.info/blob/main/.github/copilot-instructions.md,1,9,10,0,0,0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,109.0,11.11111111111111,8.0,5.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0
codemillmatt,awesome-copilot-example,https://github.com/codemillmatt/awesome-copilot-example/blob/main/.github/copilot-instructions.md,1,3,7,0,0,0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,16.666666666666668,8.0,4.571428571428571,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ggml-org,llama.cpp,https://github.com/ggml-org/llama.cpp/blob/master/.github/copilot-instructions.md,1,9,29,0,0,0,9.0,29.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,15.11111111111111,13.0,3.413793103448276,3.0,0.0,0.0,0.0,0.0,0.0,0.0
primer,brand,https://github.com/primer/brand/blob/main/.github/copilot-instructions.md,1,3,7,0,0,0,3.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,12.666666666666666,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
primer,eslint-plugin-primer-react,https://github.com/primer/eslint-plugin-primer-react/blob/main/.github/copilot-instructions.md,1,6,15,0,0,0,6.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,14.833333333333334,16.5,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0
primer,react,https://github.com/primer/react/blob/main/.github/copilot-instructions.md,1,7,0,0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,11.285714285714286,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BarbourSmith,Abundance,https://github.com/BarbourSmith/Abundance/blob/main/.github/copilot-instructions.md,1,9,18,0,0,0,9.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,9.666666666666666,10.0,3.111111111111111,3.0,0.0,0.0,0.0,0.0,0.0,0.0
danielroe,roe.dev,https://github.com/danielroe/roe.dev/blob/main/.github/copilot-instructions.md,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SentriusLLC,Sentrius,https://github.com/SentriusLLC/Sentrius/blob/main/.github/copilot-instructions.md,1,10,23,0,0,0,10.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,8.9,8.5,2.3043478260869565,1.0,0.0,0.0,0.0,0.0,0.0,0.0
libetl,local-traffic,https://github.com/libetl/local-traffic/blob/main/.github/copilot-instructions.md,1,7,0,0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,11.857142857142858,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurodesk,neurocontainers,https://github.com/neurodesk/neurocontainers/blob/main/.github/copilot-instructions.md,1,9,25,0,0,0,9.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,9.88888888888889,9.0,2.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ast-grep,ast-grep,https://github.com/ast-grep/ast-grep/blob/main/.github/copilot-instructions.md,1,8,11,0,0,0,8.0,11.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,8.625,7.5,4.7272727272727275,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ast-grep,ast-grep.github.io,https://github.com/ast-grep/ast-grep.github.io/blob/main/.github/copilot-instructions.md,1,13,6,0,0,0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,6.461538461538462,5.0,3.6666666666666665,3.5,0.0,0.0,0.0,0.0,0.0,0.0
mlco2,codecarbon,https://github.com/mlco2/codecarbon/blob/master/.github/copilot-instructions.md,1,8,15,0,0,0,8.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,10.75,10.5,4.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0
catalystneuro,neuroconv,https://github.com/catalystneuro/neuroconv/blob/main/.github/copilot-instructions.md,1,5,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,3.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chainlit,chainlit,https://github.com/Chainlit/chainlit/blob/main/.github/copilot-instructions.md,1,5,11,0,0,0,5.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,11.4,10.0,3.8181818181818183,4.0,0.0,0.0,0.0,0.0,0.0,0.0
hemilabs,ui-monorepo,https://github.com/hemilabs/ui-monorepo/blob/main/.github/copilot-instructions.md,1,2,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valkey-io,valkey-glide,https://github.com/valkey-io/valkey-glide/blob/main/.github/copilot-instructions.md,1,8,17,0,0,0,8.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,8.5,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
baynezy,Html2Markdown,https://github.com/baynezy/Html2Markdown/blob/master/.github/copilot-instructions.md,1,4,2,0,0,0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,10.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
humanwhocodes,crosspost,https://github.com/humanwhocodes/crosspost/blob/main/.github/copilot-instructions.md,1,7,12,0,0,0,7.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,13.0,9.0,5.416666666666667,4.5,0.0,0.0,0.0,0.0,0.0,0.0
meza,minecraft-mod-manager,https://github.com/meza/minecraft-mod-manager/blob/main/.github/copilot-instructions.md,1,7,13,3,0,0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,15.428571428571429,9.0,5.615384615384615,4.0,4.333333333333333,4.0,0.0,0.0,0.0,0.0
meza,Stonecraft,https://github.com/meza/Stonecraft/blob/main/.github/copilot-instructions.md,1,7,4,1,0,0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,8.0,5.0,8.25,7.0,6.0,6.0,0.0,0.0,0.0,0.0
OWASP,wrongsecrets,https://github.com/OWASP/wrongsecrets/blob/master/.github/copilot-instructions.md,1,12,9,0,0,0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,6.583333333333333,5.0,3.5555555555555554,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mysql-net,MySqlConnector,https://github.com/mysql-net/MySqlConnector/blob/master/.github/copilot-instructions.md,1,2,3,0,0,0,2.0,3.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,8.0,8.0,3.6666666666666665,3.0,0.0,0.0,0.0,0.0,0.0,0.0
yulin0629,github-copilot-tutorial,https://github.com/yulin0629/github-copilot-tutorial/blob/main/.github/copilot-instructions.md,1,4,11,0,0,0,4.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,12.25,13.0,3.4545454545454546,3.0,0.0,0.0,0.0,0.0,0.0,0.0
luno,luno-mcp,https://github.com/luno/luno-mcp/blob/main/.github/copilot-instructions.md,1,8,3,1,0,0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,8.125,7.0,5.333333333333333,5.0,2.0,2.0,0.0,0.0,0.0,0.0
chrisreddington,validate-file-exists,https://github.com/chrisreddington/validate-file-exists/blob/main/.github/copilot-instructions.md,1,3,2,0,0,0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,10.333333333333334,10.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Humanizr,Humanizer,https://github.com/Humanizr/Humanizer/blob/main/.github/copilot-instructions.md,1,9,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,3.4444444444444446,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
digitarald,vscode-agent-todos,https://github.com/digitarald/vscode-agent-todos/blob/main/.github/copilot-instructions.md,0,14,30,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.428571428571429,9.0,4.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0
dsccommunity,SqlServerDsc,https://github.com/dsccommunity/SqlServerDsc/blob/main/.github/copilot-instructions.md,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opensource-observer,oso,https://github.com/opensource-observer/oso/blob/main/.github/copilot-instructions.md,0,5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marcominerva,PdfSmith,https://github.com/marcominerva/PdfSmith/blob/master/.github/copilot-instructions.md,0,6,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.666666666666666,7.5,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
saas-factory-labs,Saas-Factory,https://github.com/saas-factory-labs/Saas-Factory/blob/main/.github/copilot-instructions.md,1,4,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewolff,software-architektur.tv,https://github.com/ewolff/software-architektur.tv/blob/master/.github/copilot-instructions.md,1,6,22,0,0,0,6.0,22.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,124.0,19.333333333333332,19.5,4.2727272727272725,3.0,0.0,0.0,0.0,0.0,0.0,0.0
krissen,polleninformation,https://github.com/krissen/polleninformation/blob/master/.github/copilot-instructions.md,1,6,13,0,0,0,6.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.0,12.166666666666666,13.0,3.5384615384615383,3.0,0.0,0.0,0.0,0.0,0.0,0.0
dvcrn,mcp-server-siri-shortcuts,https://github.com/dvcrn/mcp-server-siri-shortcuts/blob/main/.github/copilot-instructions.md,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nais,unleasherator,https://github.com/nais/unleasherator/blob/main/.github/copilot-instructions.md,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vltpkg,vltpkg,https://github.com/vltpkg/vltpkg/blob/main/.github/copilot-instructions.md,1,1,3,7,0,0,1.0,3.0,7.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,139.0,128.0,128.0,41.333333333333336,5.0,7.0,6.0,0.0,0.0,0.0,0.0
M-CreativeLab,jsar-runtime,https://github.com/M-CreativeLab/jsar-runtime/blob/main/.github/copilot-instructions.md,1,9,10,0,0,0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,8.777777777777779,7.0,4.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0
