repository_owner,repository_name,file_url,total_h1,total_h2,total_h3,total_h4,total_h5,total_h6,median_h2_under_h1,median_h3_under_h1,median_h4_under_h1,median_h5_under_h1,median_h6_under_h1,median_h3_under_h2,median_h4_under_h2,median_h5_under_h2,median_h6_under_h2,median_h4_under_h3,median_h5_under_h3,median_h6_under_h3,median_h5_under_h4,median_h6_under_h4,median_h6_under_h5,avg_loc_h1,median_loc_h1,avg_loc_h2,median_loc_h2,avg_loc_h3,median_loc_h3,avg_loc_h4,median_loc_h4,avg_loc_h5,median_loc_h5,avg_loc_h6,median_loc_h6
myuon,gallon,https://github.com/myuon/gallon/blob/main/CLAUDE.md,1,3,9,0,0,0,3.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,14.666666666666666,15.0,3.7777777777777777,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ajanraj,OpenChat,https://github.com/ajanraj/OpenChat/blob/main/CLAUDE.md,16,19,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4375,8.0,23.31578947368421,7.0,33.875,28.0,0.0,0.0,0.0,0.0,0.0,0.0
killerapp,continuous-image-gen,https://github.com/killerapp/continuous-image-gen/blob/main/CLAUDE.md,1,2,6,0,0,0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,22.0,22.0,6.166666666666667,4.5,0.0,0.0,0.0,0.0,0.0,0.0
jonobr1,two.js,https://github.com/jonobr1/two.js/blob/main/CLAUDE.md,1,16,14,0,0,0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,136.0,7.4375,6.0,3.7142857142857144,3.5,0.0,0.0,0.0,0.0,0.0,0.0
rainbow-me,browser-extension,https://github.com/rainbow-me/browser-extension/blob/master/CLAUDE.md,1,4,14,0,0,0,4.0,14.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,15.0,14.0,3.2142857142857144,4.0,0.0,0.0,0.0,0.0,0.0,0.0
truenas,webui,https://github.com/truenas/webui/blob/master/CLAUDE.md,1,7,6,0,0,0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,13.0,9.0,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0
o-ga09,MH-API,https://github.com/o-ga09/MH-API/blob/main/CLAUDE.md,0,6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colinhacks,zod,https://github.com/colinhacks/zod/blob/main/CLAUDE.md,1,6,8,0,0,0,6.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,11.833333333333334,9.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0
basher83,ProxmoxMCP,https://github.com/basher83/ProxmoxMCP/blob/main/CLAUDE.md,1,6,25,41,0,0,6.0,25.0,41.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,218.0,35.166666666666664,34.0,7.12,4.0,2.317073170731707,1.0,0.0,0.0,0.0,0.0
elixir-lsp,vscode-elixir-ls,https://github.com/elixir-lsp/vscode-elixir-ls/blob/master/CLAUDE.md,1,4,8,0,0,0,4.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,8.75,4.5,2.375,2.0,0.0,0.0,0.0,0.0,0.0,0.0
chipturner,pxhist,https://github.com/chipturner/pxhist/blob/main/CLAUDE.md,1,6,11,0,0,0,6.0,11.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,12.0,13.0,3.6363636363636362,4.0,0.0,0.0,0.0,0.0,0.0,0.0
actnwit,RhodoniteTS,https://github.com/actnwit/RhodoniteTS/blob/main/CLAUDE.md,1,9,20,0,0,0,9.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,8.333333333333334,9.0,2.65,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedal-Intelligence,saypi-userscript,https://github.com/Pedal-Intelligence/saypi-userscript/blob/main/CLAUDE.md,1,2,9,4,0,0,2.0,9.0,4.0,0.0,0.0,4.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,67.5,67.5,12.777777777777779,9.0,17.25,21.0,0.0,0.0,0.0,0.0
OpenCut-app,OpenCut,https://github.com/OpenCut-app/OpenCut/blob/main/CLAUDE.md,1,8,4,0,0,0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,9.125,8.0,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Uniswap,interface,https://github.com/Uniswap/interface/blob/main/CLAUDE.md,2,8,8,4,0,0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,8.25,5.0,4.0,0.0,4.5,4.5,0.0,0.0,0.0,0.0
onion-lang,onion,https://github.com/onion-lang/onion/blob/main/CLAUDE.md,1,2,3,0,0,0,2.0,3.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,16.5,16.5,5.333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0
codante-io,codante-io-api,https://github.com/codante-io/codante-io-api/blob/main/CLAUDE.md,1,5,13,0,0,0,5.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,15.2,12.0,4.384615384615385,4.0,0.0,0.0,0.0,0.0,0.0,0.0
codante-io,codante-io-front,https://github.com/codante-io/codante-io-front/blob/main/CLAUDE.md,2,11,9,0,0,0,5.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.5,42.5,6.636363636363637,6.0,3.888888888888889,4.0,0.0,0.0,0.0,0.0,0.0,0.0
nabinno,dotfiles,https://github.com/nabinno/dotfiles/blob/master/CLAUDE.md,1,5,14,0,0,0,5.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,9.4,7.0,2.2857142857142856,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PrefectHQ,marvin,https://github.com/PrefectHQ/marvin/blob/main/CLAUDE.md,1,4,4,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,7.75,5.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0
anthropics,claude-code-action,https://github.com/anthropics/claude-code-action/blob/main/CLAUDE.md,1,5,9,4,0,0,5.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,12.2,5.0,4.888888888888889,3.0,3.75,3.5,0.0,0.0,0.0,0.0
clafollett,agenterra,https://github.com/clafollett/agenterra/blob/main/CLAUDE.md,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panther-labs,mcp-panther,https://github.com/panther-labs/mcp-panther/blob/main/CLAUDE.md,1,3,3,0,0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,7.666666666666667,5.0,4.333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0
vanillapdf,vanillapdf,https://github.com/vanillapdf/vanillapdf/blob/main/CLAUDE.md,1,14,25,20,0,0,14.0,25.0,20.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.0,393.0,27.0,18.0,12.0,10.0,4.5,3.0,0.0,0.0,0.0,0.0
lostleaf,binance_datatool,https://github.com/lostleaf/binance_datatool/blob/main/CLAUDE.md,1,7,0,0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,2.857142857142857,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shm11C3,HardwareVisualizer,https://github.com/shm11C3/HardwareVisualizer/blob/master/CLAUDE.md,1,12,6,4,0,0,12.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,106.0,7.833333333333333,4.5,7.0,4.0,4.5,2.0,0.0,0.0,0.0,0.0
malgo-lang,malgo,https://github.com/malgo-lang/malgo/blob/master/CLAUDE.md,1,7,13,0,0,0,7.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,8.714285714285714,6.0,2.4615384615384617,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pulsemcp,mcp-servers,https://github.com/pulsemcp/mcp-servers/blob/main/CLAUDE.md,1,11,26,0,0,0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,16.454545454545453,6.0,4.423076923076923,3.0,0.0,0.0,0.0,0.0,0.0,0.0
spacelift-io,spacectl,https://github.com/spacelift-io/spacectl/blob/main/CLAUDE.md,1,3,7,0,0,0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,58.0,18.0,21.0,3.7142857142857144,4.0,0.0,0.0,0.0,0.0,0.0,0.0
mazrean,kessoku,https://github.com/mazrean/kessoku/blob/main/CLAUDE.md,1,4,14,3,0,0,4.0,14.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,18.25,14.5,4.142857142857143,3.5,1.0,1.0,0.0,0.0,0.0,0.0
clduab11,thinkrank,https://github.com/clduab11/thinkrank/blob/main/CLAUDE.md,2,22,52,13,0,0,11.0,26.0,6.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.5,204.5,18.40909090909091,12.0,6.346153846153846,4.0,3.923076923076923,5.0,0.0,0.0,0.0,0.0
ahmed3elshaer,IntelliJ-True-Black-Theme,https://github.com/ahmed3elshaer/IntelliJ-True-Black-Theme/blob/main/CLAUDE.md,1,3,7,0,0,0,3.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,10.666666666666666,2.0,3.4285714285714284,4.0,0.0,0.0,0.0,0.0,0.0,0.0
SAIB-Inc,Chrysalis,https://github.com/SAIB-Inc/Chrysalis/blob/main/CLAUDE.md,1,12,0,0,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,6.166666666666667,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nyvyn,helpful.computer,https://github.com/nyvyn/helpful.computer/blob/main/CLAUDE.md,1,7,12,0,0,0,7.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,9.142857142857142,7.0,3.0833333333333335,4.0,0.0,0.0,0.0,0.0,0.0,0.0
MicroPyramid,opensource-startup-crm,https://github.com/MicroPyramid/opensource-startup-crm/blob/main/CLAUDE.md,1,7,8,0,0,0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,7.857142857142857,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
brooksy4503,chatlima,https://github.com/brooksy4503/chatlima/blob/main/CLAUDE.md,1,2,13,20,0,0,2.0,13.0,20.0,0.0,0.0,6.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,61.0,61.0,8.384615384615385,7.0,3.65,4.0,0.0,0.0,0.0,0.0
alchemiststudiosDOTai,tunacode,https://github.com/alchemiststudiosDOTai/tunacode/blob/master/CLAUDE.md,1,13,0,0,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,110.0,7.076923076923077,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alchemiststudiosDOTai,tinyAgent,https://github.com/alchemiststudiosDOTai/tinyAgent/blob/master/CLAUDE.md,5,3,7,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,2.0,14.666666666666666,11.0,4.0,3.0,2.5,3.0,0.0,0.0,0.0,0.0
acornprover,acornlib,https://github.com/acornprover/acornlib/blob/master/CLAUDE.md,0,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
acryldata,mcp-server-datahub,https://github.com/acryldata/mcp-server-datahub/blob/main/CLAUDE.md,1,7,2,0,0,0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,4.714285714285714,3.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Freika,dawarich,https://github.com/Freika/dawarich/blob/master/CLAUDE.md,1,16,25,0,0,0,16.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,178.0,10.0625,9.5,4.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0
bdougie,contributor.info,https://github.com/bdougie/contributor.info/blob/main/CLAUDE.md,1,8,9,0,0,0,8.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,108.0,12.0,10.0,6.666666666666667,5.0,0.0,0.0,0.0,0.0,0.0,0.0
RelistenNet,relisten-mobile,https://github.com/RelistenNet/relisten-mobile/blob/main/CLAUDE.md,1,5,5,2,0,0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,10.0,4.0,6.0,5.0,4.5,4.5,0.0,0.0,0.0,0.0
futuroptimist,token.place,https://github.com/futuroptimist/token.place/blob/main/CLAUDE.md,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lymestack,SimpleAuth4Net,https://github.com/lymestack/SimpleAuth4Net/blob/master/CLAUDE.md,1,5,8,0,0,0,5.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,17.6,14.0,8.25,6.5,0.0,0.0,0.0,0.0,0.0,0.0
VRHIKKY,VketCloudSDK_Documents,https://github.com/VRHIKKY/VketCloudSDK_Documents/blob/master/CLAUDE.md,2,7,5,0,0,0,3.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,8.285714285714286,7.0,3.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0
superwall,expo-superwall,https://github.com/superwall/expo-superwall/blob/main/CLAUDE.md,1,6,9,0,0,0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,68.0,10.166666666666666,3.5,4.444444444444445,4.0,0.0,0.0,0.0,0.0,0.0,0.0
LZong-tw,readwise-reader-management,https://github.com/LZong-tw/readwise-reader-management/blob/master/CLAUDE.md,1,5,10,0,0,0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,12.8,4.0,4.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
assaydepot,red-candle,https://github.com/assaydepot/red-candle/blob/main/CLAUDE.md,1,21,20,0,0,0,21.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,5.523809523809524,6.0,2.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
khromov,context-coder,https://github.com/khromov/context-coder/blob/main/CLAUDE.md,1,6,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,8.166666666666666,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
